Description,GroundTruth,Ratings,Review Date,Review Title,Site
"Visit this Place seriously, I cannot spend enough  time describing how amazing this venue is.

The owner Antonis, is a higher being with knowledge in all things beer that a mere mortal cannot possibly hope to comprehend. 

The decor is the work of pure genius,...More",positive,5,28-Aug-17,The Quintessential Greek Experience.,
Pure. Genuine Brewery. adapted to nowadays demands. Highly recommended to beer adicts. Keep up the good work!,positive,5,19-Apr-17,Only the best is good enough,
"If you have to drink a beer, this is the best place!! You  have to choose from 420 beers!! The owner that serve you is a specialist in beers! You have also to taste everything the owner brings you with the beer! You can also...More",positive,5,14-Feb-17,The best place to drink a beer in Larisa! A little gem!,
"If you like drinking beers, this is the ideal place in Larissa.  You can find almost every flavour of beer. The place remains german beer bar. The staff is friendly and willing to explain and to make you feel comfortable. The disadvantage is that sometimes...More",positive,5,15-Jan-19,ideal to relax,
"If you coming to Larissa city or if you are living at this the perfect place having a good time, drinking the finest beers With the Best dishes!! Antonis the owner is himself a fun of beer and also he knows so many thinks about...More",positive,5,21-Mar-18,The Best choice for beer lovers!! ,
"Collection of beers is Enormous..//
Dishes are only made of fresh ingredients..//
Inside , the Pub represents the most atmospheric place anyone can be..//
Staff is very friendly, helpful & kind..//
Least but not last....Owner is the coolest dude I ever met..//
Highly RECOMMENDED:/",positive,5,23-Nov-17,Awesome Pub,
"Visit this Place seriously, I cannot spend enough  time describing how amazing this venue is.

The owner Antonis, is a higher being with knowledge in all things beer that a mere mortal cannot possibly hope to comprehend. 

The decor is the work of pure genius,...More",positive,5,28-Aug-17,The Quintessential Greek Experience.,
Pure. Genuine Brewery. adapted to nowadays demands. Highly recommended to beer adicts. Keep up the good work!,positive,5,19-Apr-17,Only the best is good enough,
"If you have to drink a beer, this is the best place!! You  have to choose from 420 beers!! The owner that serve you is a specialist in beers! You have also to taste everything the owner brings you with the beer! You can also...More",positive,5,14-Feb-17,The best place to drink a beer in Larisa! A little gem!,
"If you like drinking beers, this is the ideal place in Larissa.  You can find almost every flavour of beer. The place remains german beer bar. The staff is friendly and willing to explain and to make you feel comfortable. The disadvantage is that sometimes...More",positive,5,15-Jan-19,ideal to relax,
"If you coming to Larissa city or if you are living at this the perfect place having a good time, drinking the finest beers With the Best dishes!! Antonis the owner is himself a fun of beer and also he knows so many thinks about...More",positive,5,21-Mar-18,The Best choice for beer lovers!! ,
"Collection of beers is Enormous..//
Dishes are only made of fresh ingredients..//
Inside , the Pub represents the most atmospheric place anyone can be..//
Staff is very friendly, helpful & kind..//
Least but not last....Owner is the coolest dude I ever met..//
Highly RECOMMENDED:/",positive,5,23-Nov-17,Awesome Pub,
"Visit this Place seriously, I cannot spend enough  time describing how amazing this venue is.

The owner Antonis, is a higher being with knowledge in all things beer that a mere mortal cannot possibly hope to comprehend. 

The decor is the work of pure genius,...More",positive,5,28-Aug-17,The Quintessential Greek Experience.,
Pure. Genuine Brewery. adapted to nowadays demands. Highly recommended to beer adicts. Keep up the good work!,positive,5,19-Apr-17,Only the best is good enough,
"If you have to drink a beer, this is the best place!! You  have to choose from 420 beers!! The owner that serve you is a specialist in beers! You have also to taste everything the owner brings you with the beer! You can also...More",positive,5,14-Feb-17,The best place to drink a beer in Larisa! A little gem!,
"If you like drinking beers, this is the ideal place in Larissa.  You can find almost every flavour of beer. The place remains german beer bar. The staff is friendly and willing to explain and to make you feel comfortable. The disadvantage is that sometimes...More",positive,5,15-Jan-19,ideal to relax,
"If you coming to Larissa city or if you are living at this the perfect place having a good time, drinking the finest beers With the Best dishes!! Antonis the owner is himself a fun of beer and also he knows so many thinks about...More",positive,5,21-Mar-18,The Best choice for beer lovers!! ,
"Collection of beers is Enormous..//
Dishes are only made of fresh ingredients..//
Inside , the Pub represents the most atmospheric place anyone can be..//
Staff is very friendly, helpful & kind..//
Least but not last....Owner is the coolest dude I ever met..//
Highly RECOMMENDED:/",positive,5,23-Nov-17,Awesome Pub,
"Visit this Place seriously, I cannot spend enough  time describing how amazing this venue is.

The owner Antonis, is a higher being with knowledge in all things beer that a mere mortal cannot possibly hope to comprehend. 

The decor is the work of pure genius,...More",positive,5,28-Aug-17,The Quintessential Greek Experience.,
Pure. Genuine Brewery. adapted to nowadays demands. Highly recommended to beer adicts. Keep up the good work!,positive,5,19-Apr-17,Only the best is good enough,
"If you have to drink a beer, this is the best place!! You  have to choose from 420 beers!! The owner that serve you is a specialist in beers! You have also to taste everything the owner brings you with the beer! You can also...More",positive,5,14-Feb-17,The best place to drink a beer in Larisa! A little gem!,
"Hi 
I've been to Ladokola many times even when they were in their old premise. 
Always great food at the very best prices. The service is spot on the waiters/waitress are brilliant all speak English and they are fast,friendly and efficient. 
Well done Ladokola",positive,5,6-Jul-19,"Best place to eat Cheap wonderful atmosphere,great service",
"A traditional type taverna that serves different types of meat on wax paper. It has a good variety of salads and appetizers to pair them with. It runs for many years. The food is always very good, on the cheap side, the staff always polite...More",positive,5,5-Sep-18,Great place for skewers and meat,
Very cheap quality ingredients That gives you only the satisfaction of low budget Walters. A joint for students mainly. Keep of the watery wines and the smelly pork skewers.,negative,1,28-Mar-18,If you re not interested for quality meals but cheap ones this is your place!,
Very very tasty. We also asked for gluten free meal and they had awareness. 100% recommend and definitely ll visit again,positive,5,16-Oct-17,Very tasty pork souvlaki,
"Filled with people for a reason. Cheap and tasty souvlaki, but give the rest of their cuisine a chance, it's also good, along with the wine. Very agreeable atmosphere.",positive,4,3-Oct-17,Cheapest place to grab souvlaki.,
"Great restaurant environment in the nicely renovated city center, incl. covered 'terrace' on the sidewalk. The inside dining area has a uniquely smart (cute) interior design and, a surprising, because hygienic concept, i.e. dishes served on thin impermeable paper, and 'table cloths' of the same...More",positive,5,8-Feb-17,Great dinner experience,
"Good and cheap food. Don't drink their house wine, better order a bottle.very traditional inside the store,",positive,4,5-Jan-17,"Good food, good price",
"Retsina with souvlaki and other special mezedakia!!! We found alot of people waiting for a table, we also waited 10minutes, but it was worth to the last penny",positive,5,7-Oct-16,"Good, Cheap, Quick FOOOOOOOOOD!!!",
"Come here more than 10 times when i was in Larissa. Very nice souvlaki portions, either port or chicken. Served in a paper as souvlaki should be eaten :P I should also mention the very cheap prices on meat. Recommended.",positive,4,22-Aug-16,Value for money souvalki!,
We were at the hanging around in Larisa and we decided to stop by a place and grab a bite to eat. The place seem very busy and we were thoughtful cause we were very hungry. We stopped there and their behavior was AMAZING. We...More,positive,5,5-Jul-16,Quick bite.,
I am buying 3 times per week at summer period take away. You have to wait 3-4 minutes and the food is very tasteful and really cheap. Moslty i am ordering chicken souvlaki.,positive,5,27-Jun-16,Good choice,
"The meat is served in greaseproof paper, hence the name in Greek, but all the other delicious dishes come in pottery wares. Very busy area as it's in the old centre of Larisa Enjoy the food... we did!",positive,5,26-Apr-16,Simple cuisine with a twist.,
"On the pavement in front of this very busy restaurant that serves up their grilled meats on grease proof paper - novel idea and works.
On the Frourio hill near the ruins of ancient agora
Group of 6 Australians (one Greek) who made suggestion to...More",positive,5,11-Oct-15,What no plates??? Yes served on grease proof paper,
"Nice central location, friendly staff (Say hey to my ""photomodel"" waiter), everybody visiting Larissa should stop at Ladokola and taste a little from greek cuisine.
We have eaten outside but also the inside part of the restaurant is very cosy.",positive,5,6-Sep-15,Excellent food!,
"I miss some places in Larissa and this restaurant is one of them. The restaurant is located in central area where many other restaurants, taverns, pubs, cafes are located. But despite this, Ladokola is always crowded. Usually, a restaurant is crowded when the food/drinks are...More",positive,5,1-Sep-15,One reason to miss Larissa,
"Hi 
I've been to Ladokola many times even when they were in their old premise. 
Always great food at the very best prices. The service is spot on the waiters/waitress are brilliant all speak English and they are fast,friendly and efficient. 
Well done Ladokola",positive,5,6-Jul-19,"Best place to eat Cheap wonderful atmosphere,great service",
"A traditional type taverna that serves different types of meat on wax paper. It has a good variety of salads and appetizers to pair them with. It runs for many years. The food is always very good, on the cheap side, the staff always polite...More",positive,5,5-Sep-18,Great place for skewers and meat,
Very cheap quality ingredients That gives you only the satisfaction of low budget Walters. A joint for students mainly. Keep of the watery wines and the smelly pork skewers.,negative,1,28-Mar-18,If you re not interested for quality meals but cheap ones this is your place!,
Very very tasty. We also asked for gluten free meal and they had awareness. 100% recommend and definitely ll visit again,positive,5,16-Oct-17,Very tasty pork souvlaki,
"Filled with people for a reason. Cheap and tasty souvlaki, but give the rest of their cuisine a chance, it's also good, along with the wine. Very agreeable atmosphere.",positive,4,3-Oct-17,Cheapest place to grab souvlaki.,
"Great restaurant environment in the nicely renovated city center, incl. covered 'terrace' on the sidewalk. The inside dining area has a uniquely smart (cute) interior design and, a surprising, because hygienic concept, i.e. dishes served on thin impermeable paper, and 'table cloths' of the same...More",positive,5,8-Feb-17,Great dinner experience,
"Good and cheap food. Don't drink their house wine, better order a bottle.very traditional inside the store,",positive,4,5-Jan-17,"Good food, good price",
"Retsina with souvlaki and other special mezedakia!!! We found alot of people waiting for a table, we also waited 10minutes, but it was worth to the last penny",positive,5,7-Oct-16,"Good, Cheap, Quick FOOOOOOOOOD!!!",
"Come here more than 10 times when i was in Larissa. Very nice souvlaki portions, either port or chicken. Served in a paper as souvlaki should be eaten :P I should also mention the very cheap prices on meat. Recommended.",positive,4,22-Aug-16,Value for money souvalki!,
We were at the hanging around in Larisa and we decided to stop by a place and grab a bite to eat. The place seem very busy and we were thoughtful cause we were very hungry. We stopped there and their behavior was AMAZING. We...More,positive,5,5-Jul-16,Quick bite.,
"Hi 
I've been to Ladokola many times even when they were in their old premise. 
Always great food at the very best prices. The service is spot on the waiters/waitress are brilliant all speak English and they are fast,friendly and efficient. 
Well done Ladokola",positive,5,6-Jul-19,"Best place to eat Cheap wonderful atmosphere,great service",
"A traditional type taverna that serves different types of meat on wax paper. It has a good variety of salads and appetizers to pair them with. It runs for many years. The food is always very good, on the cheap side, the staff always polite...More",positive,5,5-Sep-18,Great place for skewers and meat,
Very cheap quality ingredients That gives you only the satisfaction of low budget Walters. A joint for students mainly. Keep of the watery wines and the smelly pork skewers.,negative,1,28-Mar-18,If you re not interested for quality meals but cheap ones this is your place!,
Very very tasty. We also asked for gluten free meal and they had awareness. 100% recommend and definitely ll visit again,positive,5,16-Oct-17,Very tasty pork souvlaki,
"Filled with people for a reason. Cheap and tasty souvlaki, but give the rest of their cuisine a chance, it's also good, along with the wine. Very agreeable atmosphere.",positive,4,3-Oct-17,Cheapest place to grab souvlaki.,
"Great restaurant environment in the nicely renovated city center, incl. covered 'terrace' on the sidewalk. The inside dining area has a uniquely smart (cute) interior design and, a surprising, because hygienic concept, i.e. dishes served on thin impermeable paper, and 'table cloths' of the same...More",positive,5,8-Feb-17,Great dinner experience,
"Good and cheap food. Don't drink their house wine, better order a bottle.very traditional inside the store,",positive,4,5-Jan-17,"Good food, good price",
"Retsina with souvlaki and other special mezedakia!!! We found alot of people waiting for a table, we also waited 10minutes, but it was worth to the last penny",positive,5,7-Oct-16,"Good, Cheap, Quick FOOOOOOOOOD!!!",
"Come here more than 10 times when i was in Larissa. Very nice souvlaki portions, either port or chicken. Served in a paper as souvlaki should be eaten :P I should also mention the very cheap prices on meat. Recommended.",positive,4,22-Aug-16,Value for money souvalki!,
We were at the hanging around in Larisa and we decided to stop by a place and grab a bite to eat. The place seem very busy and we were thoughtful cause we were very hungry. We stopped there and their behavior was AMAZING. We...More,positive,5,5-Jul-16,Quick bite.,
"Hi 
I've been to Ladokola many times even when they were in their old premise. 
Always great food at the very best prices. The service is spot on the waiters/waitress are brilliant all speak English and they are fast,friendly and efficient. 
Well done Ladokola",positive,5,6-Jul-19,"Best place to eat Cheap wonderful atmosphere,great service",
"A traditional type taverna that serves different types of meat on wax paper. It has a good variety of salads and appetizers to pair them with. It runs for many years. The food is always very good, on the cheap side, the staff always polite...More",positive,5,5-Sep-18,Great place for skewers and meat,
Very cheap quality ingredients That gives you only the satisfaction of low budget Walters. A joint for students mainly. Keep of the watery wines and the smelly pork skewers.,negative,1,28-Mar-18,If you re not interested for quality meals but cheap ones this is your place!,
Very very tasty. We also asked for gluten free meal and they had awareness. 100% recommend and definitely ll visit again,positive,5,16-Oct-17,Very tasty pork souvlaki,
"Filled with people for a reason. Cheap and tasty souvlaki, but give the rest of their cuisine a chance, it's also good, along with the wine. Very agreeable atmosphere.",positive,4,3-Oct-17,Cheapest place to grab souvlaki.,
"Great restaurant environment in the nicely renovated city center, incl. covered 'terrace' on the sidewalk. The inside dining area has a uniquely smart (cute) interior design and, a surprising, because hygienic concept, i.e. dishes served on thin impermeable paper, and 'table cloths' of the same...More",positive,5,8-Feb-17,Great dinner experience,
"Good and cheap food. Don't drink their house wine, better order a bottle.very traditional inside the store,",positive,4,5-Jan-17,"Good food, good price",
"Retsina with souvlaki and other special mezedakia!!! We found alot of people waiting for a table, we also waited 10minutes, but it was worth to the last penny",positive,5,7-Oct-16,"Good, Cheap, Quick FOOOOOOOOOD!!!",
"Come here more than 10 times when i was in Larissa. Very nice souvlaki portions, either port or chicken. Served in a paper as souvlaki should be eaten :P I should also mention the very cheap prices on meat. Recommended.",positive,4,22-Aug-16,Value for money souvalki!,
We were at the hanging around in Larisa and we decided to stop by a place and grab a bite to eat. The place seem very busy and we were thoughtful cause we were very hungry. We stopped there and their behavior was AMAZING. We...More,positive,5,5-Jul-16,Quick bite.,
"Hi 
I've been to Ladokola many times even when they were in their old premise. 
Always great food at the very best prices. The service is spot on the waiters/waitress are brilliant all speak English and they are fast,friendly and efficient. 
Well done Ladokola",positive,5,6-Jul-19,"Best place to eat Cheap wonderful atmosphere,great service",
"A traditional type taverna that serves different types of meat on wax paper. It has a good variety of salads and appetizers to pair them with. It runs for many years. The food is always very good, on the cheap side, the staff always polite...More",positive,5,5-Sep-18,Great place for skewers and meat,
Very cheap quality ingredients That gives you only the satisfaction of low budget Walters. A joint for students mainly. Keep of the watery wines and the smelly pork skewers.,negative,1,28-Mar-18,If you re not interested for quality meals but cheap ones this is your place!,
Very very tasty. We also asked for gluten free meal and they had awareness. 100% recommend and definitely ll visit again,positive,5,16-Oct-17,Very tasty pork souvlaki,
"Filled with people for a reason. Cheap and tasty souvlaki, but give the rest of their cuisine a chance, it's also good, along with the wine. Very agreeable atmosphere.",positive,4,3-Oct-17,Cheapest place to grab souvlaki.,
"Great restaurant environment in the nicely renovated city center, incl. covered 'terrace' on the sidewalk. The inside dining area has a uniquely smart (cute) interior design and, a surprising, because hygienic concept, i.e. dishes served on thin impermeable paper, and 'table cloths' of the same...More",positive,5,8-Feb-17,Great dinner experience,
"Good and cheap food. Don't drink their house wine, better order a bottle.very traditional inside the store,",positive,4,5-Jan-17,"Good food, good price",
"Retsina with souvlaki and other special mezedakia!!! We found alot of people waiting for a table, we also waited 10minutes, but it was worth to the last penny",positive,5,7-Oct-16,"Good, Cheap, Quick FOOOOOOOOOD!!!",
"Come here more than 10 times when i was in Larissa. Very nice souvlaki portions, either port or chicken. Served in a paper as souvlaki should be eaten :P I should also mention the very cheap prices on meat. Recommended.",positive,4,22-Aug-16,Value for money souvalki!,
We were at the hanging around in Larisa and we decided to stop by a place and grab a bite to eat. The place seem very busy and we were thoughtful cause we were very hungry. We stopped there and their behavior was AMAZING. We...More,positive,5,5-Jul-16,Quick bite.,
"Hi 
I've been to Ladokola many times even when they were in their old premise. 
Always great food at the very best prices. The service is spot on the waiters/waitress are brilliant all speak English and they are fast,friendly and efficient. 
Well done Ladokola",positive,5,6-Jul-19,"Best place to eat Cheap wonderful atmosphere,great service",
"A traditional type taverna that serves different types of meat on wax paper. It has a good variety of salads and appetizers to pair them with. It runs for many years. The food is always very good, on the cheap side, the staff always polite...More",positive,5,5-Sep-18,Great place for skewers and meat,
Very cheap quality ingredients That gives you only the satisfaction of low budget Walters. A joint for students mainly. Keep of the watery wines and the smelly pork skewers.,negative,1,28-Mar-18,If you re not interested for quality meals but cheap ones this is your place!,
Very very tasty. We also asked for gluten free meal and they had awareness. 100% recommend and definitely ll visit again,positive,5,16-Oct-17,Very tasty pork souvlaki,
"Filled with people for a reason. Cheap and tasty souvlaki, but give the rest of their cuisine a chance, it's also good, along with the wine. Very agreeable atmosphere.",positive,4,3-Oct-17,Cheapest place to grab souvlaki.,
"Great restaurant environment in the nicely renovated city center, incl. covered 'terrace' on the sidewalk. The inside dining area has a uniquely smart (cute) interior design and, a surprising, because hygienic concept, i.e. dishes served on thin impermeable paper, and 'table cloths' of the same...More",positive,5,8-Feb-17,Great dinner experience,
"Good and cheap food. Don't drink their house wine, better order a bottle.very traditional inside the store,",positive,4,5-Jan-17,"Good food, good price",
"Retsina with souvlaki and other special mezedakia!!! We found alot of people waiting for a table, we also waited 10minutes, but it was worth to the last penny",positive,5,7-Oct-16,"Good, Cheap, Quick FOOOOOOOOOD!!!",
"Come here more than 10 times when i was in Larissa. Very nice souvlaki portions, either port or chicken. Served in a paper as souvlaki should be eaten :P I should also mention the very cheap prices on meat. Recommended.",positive,4,22-Aug-16,Value for money souvalki!,
We were at the hanging around in Larisa and we decided to stop by a place and grab a bite to eat. The place seem very busy and we were thoughtful cause we were very hungry. We stopped there and their behavior was AMAZING. We...More,positive,5,5-Jul-16,Quick bite.,
"Hi 
I've been to Ladokola many times even when they were in their old premise. 
Always great food at the very best prices. The service is spot on the waiters/waitress are brilliant all speak English and they are fast,friendly and efficient. 
Well done Ladokola",positive,5,6-Jul-19,"Best place to eat Cheap wonderful atmosphere,great service",
"A traditional type taverna that serves different types of meat on wax paper. It has a good variety of salads and appetizers to pair them with. It runs for many years. The food is always very good, on the cheap side, the staff always polite...More",positive,5,5-Sep-18,Great place for skewers and meat,
Very cheap quality ingredients That gives you only the satisfaction of low budget Walters. A joint for students mainly. Keep of the watery wines and the smelly pork skewers.,negative,1,28-Mar-18,If you re not interested for quality meals but cheap ones this is your place!,
Very very tasty. We also asked for gluten free meal and they had awareness. 100% recommend and definitely ll visit again,positive,5,16-Oct-17,Very tasty pork souvlaki,
"Filled with people for a reason. Cheap and tasty souvlaki, but give the rest of their cuisine a chance, it's also good, along with the wine. Very agreeable atmosphere.",positive,4,3-Oct-17,Cheapest place to grab souvlaki.,
"Great restaurant environment in the nicely renovated city center, incl. covered 'terrace' on the sidewalk. The inside dining area has a uniquely smart (cute) interior design and, a surprising, because hygienic concept, i.e. dishes served on thin impermeable paper, and 'table cloths' of the same...More",positive,5,8-Feb-17,Great dinner experience,
"Good and cheap food. Don't drink their house wine, better order a bottle.very traditional inside the store,",positive,4,5-Jan-17,"Good food, good price",
"Retsina with souvlaki and other special mezedakia!!! We found alot of people waiting for a table, we also waited 10minutes, but it was worth to the last penny",positive,5,7-Oct-16,"Good, Cheap, Quick FOOOOOOOOOD!!!",
"Come here more than 10 times when i was in Larissa. Very nice souvlaki portions, either port or chicken. Served in a paper as souvlaki should be eaten :P I should also mention the very cheap prices on meat. Recommended.",positive,4,22-Aug-16,Value for money souvalki!,
We were at the hanging around in Larisa and we decided to stop by a place and grab a bite to eat. The place seem very busy and we were thoughtful cause we were very hungry. We stopped there and their behavior was AMAZING. We...More,positive,5,5-Jul-16,Quick bite.,
"During my stay in larisa this summer i had the opportunity to eat there with my students and myself twice a week or sometimes every evening.
The staff is very friendly. 
The best carbonara in Larisa, best burger and great bbq plater.Also their salads are...More",positive,5,10-Oct-19,Best restaurant with great music,
"During my 4 month stay in Larisa as a site manager I used to go with big groups of people to eat or sometimes by myself, great selection of food and the staff very helpful.",positive,5,10-Oct-19,"Fantastic food, great location and lovely people.",
"Excellent food, nice environment, large portions, very reasonable prices, helpful staff.  They even treated us to non-alcoholic limoncello (we have kids) and a double-portion of dessert.  We would definitely go again.  Highly-recommended.",positive,5,2-Jan-19,Superb,
"The best place in Frourio, for dinner..or whatever time you wanna go! Clean, tasty plates, even more amazing dessert!
 The stuff is kind, friendly,smiley and make you feel welcome! 
The red wine is the best choice, to choose alongside your dinner... 
I suggest it without...More",positive,5,22-Oct-18,"Best Place For Dinner in ""Frourio""",
"We had dinner there and it was very good. Nice music and very nice atmosphere. I loved the dessert, that brownie it was really tasty!",positive,5,19-Aug-18,Nice place ,
I visited Greece on March and stambled upon this great Greek dinner. It was an authentic Greek experience we enjoyed the Kaneloni the brilli salad and various greek starters with some nice local wine. The atmosphere was perfect and the waiters where polite and keen...More,positive,5,24-Mar-18,One of the best Greek experiences,
"Friendly people.
Tasty food.
Good prices for good amount of food.
very central location
You must go to Larissa but for sure you have to go to Kitrina Gantia!!!!",positive,5,29-Dec-17,ALL PERFECT,
"Portions are big and tasty,red wine extraordinary good for the price of 2 euros for glass,reasonable prices for very good food,service is good,waitress friendly(she even gave us her powerbank to revive our tablet).Nice atmosphere and interesting interior of this restaurant.",positive,5,26-Jul-17,Excellent in every way,
"Following the recommendation of the hotel front desk, we found this restaurant. The food was great, and the drink was nice. We liked the service. The staff not only introduced us specifies of the day but also chatted with us about the wine and raki...More",positive,5,26-Jun-17,Decent Food and Superb Service,
I had an excellent dinner here. The portions were far bigger that I expected at the prices. The food was superb and the staff friendly.,positive,5,24-Feb-17,Superb food at resonable prices,
All the dishes we ordered were well-cooked and tasty. What impressed me the most was the quality of the service which I felt I should appraise.,positive,4,23-Aug-16,Top notch service,
"Nothing much to say . Excellent food , the service was awesome , clean and spacious place , nice music . A brilliant example of how a restaurant should work . Well
Done .",positive,5,28-Jan-16,Very nice restaurant ,
"The restaurant is exellent ,  The food is fresh and very tasty . The service is exellent and the waitair speak very good english . the menu is english . it s a good place to eat good food and have good times .i would...More",positive,5,10-Jun-15,Exellent Restaurant and place,
"In terms of restaurants this is my favorite in Larissa, it has everything: good location, excellent and various food, good vine, traditional interior decoration, very good staff – my special remarks for Vasilis, if he is still working there. Quite often you receive something from...More",positive,5,15-Nov-14,In my top,
"Excellent location, food, service and ambience. Good variety of foods and drinks on the menu. Very friendly staff and management. Very clean. English is spoken for the tourists and a menu written in english is available. The chef will cater for special dietary requirements. Food...More",positive,5,4-Apr-14,Ta Kitrina Gantia (Yellow Gloves),
"My first visit was 2 weeks ago and the taste i had when i left was 5/5...! The service was more than perfect, our waitor was so willing to help and talkative and even made a special combination of a plate to please all of...More",positive,4,7-Mar-14,My thoughts after my recent 2 visits,
"Ta Kitrina Gantia ""Yellow Gloves"" is based on a theme of the old black and white greek movie ""Ta Kitrina Gantia"" which means ""The Yellow Gloves"".

Excellent service, friendly staff, excellent food and ambience.  The restuarant offers a large range of traditional meat, seafood and...More",positive,5,10-Sep-13,"Ta Kitrina Gantia ""Yellow Gloves""",
"Greek cuisine,  Excellent service, quality food and value for money.  A large variety of traditional greek dishes to select from.",positive,5,9-Sep-13,'Yellow Gloves' Restaurant,
"Absolutely AMAZING service, food was genuinely delicious and FRESH! And very reasonably priced. Loved it - ate there 3 times in 8 days!",positive,5,26-Aug-13,What a genuine treat!,
"During my stay in larisa this summer i had the opportunity to eat there with my students and myself twice a week or sometimes every evening.
The staff is very friendly. 
The best carbonara in Larisa, best burger and great bbq plater.Also their salads are...More",positive,5,10-Oct-19,Best restaurant with great music,
"During my 4 month stay in Larisa as a site manager I used to go with big groups of people to eat or sometimes by myself, great selection of food and the staff very helpful.",positive,5,10-Oct-19,"Fantastic food, great location and lovely people.",
"Excellent food, nice environment, large portions, very reasonable prices, helpful staff.  They even treated us to non-alcoholic limoncello (we have kids) and a double-portion of dessert.  We would definitely go again.  Highly-recommended.",positive,5,2-Jan-19,Superb,
"The best place in Frourio, for dinner..or whatever time you wanna go! Clean, tasty plates, even more amazing dessert!
 The stuff is kind, friendly,smiley and make you feel welcome! 
The red wine is the best choice, to choose alongside your dinner... 
I suggest it without...More",positive,5,22-Oct-18,"Best Place For Dinner in ""Frourio""",
"We had dinner there and it was very good. Nice music and very nice atmosphere. I loved the dessert, that brownie it was really tasty!",positive,5,19-Aug-18,Nice place ,
I visited Greece on March and stambled upon this great Greek dinner. It was an authentic Greek experience we enjoyed the Kaneloni the brilli salad and various greek starters with some nice local wine. The atmosphere was perfect and the waiters where polite and keen...More,positive,5,24-Mar-18,One of the best Greek experiences,
"Friendly people.
Tasty food.
Good prices for good amount of food.
very central location
You must go to Larissa but for sure you have to go to Kitrina Gantia!!!!",positive,5,29-Dec-17,ALL PERFECT,
"Portions are big and tasty,red wine extraordinary good for the price of 2 euros for glass,reasonable prices for very good food,service is good,waitress friendly(she even gave us her powerbank to revive our tablet).Nice atmosphere and interesting interior of this restaurant.",positive,5,26-Jul-17,Excellent in every way,
"Following the recommendation of the hotel front desk, we found this restaurant. The food was great, and the drink was nice. We liked the service. The staff not only introduced us specifies of the day but also chatted with us about the wine and raki...More",positive,5,26-Jun-17,Decent Food and Superb Service,
I had an excellent dinner here. The portions were far bigger that I expected at the prices. The food was superb and the staff friendly.,positive,5,24-Feb-17,Superb food at resonable prices,
"During my stay in larisa this summer i had the opportunity to eat there with my students and myself twice a week or sometimes every evening.
The staff is very friendly. 
The best carbonara in Larisa, best burger and great bbq plater.Also their salads are...More",positive,5,10-Oct-19,Best restaurant with great music,
"During my 4 month stay in Larisa as a site manager I used to go with big groups of people to eat or sometimes by myself, great selection of food and the staff very helpful.",positive,5,10-Oct-19,"Fantastic food, great location and lovely people.",
"Excellent food, nice environment, large portions, very reasonable prices, helpful staff.  They even treated us to non-alcoholic limoncello (we have kids) and a double-portion of dessert.  We would definitely go again.  Highly-recommended.",positive,5,2-Jan-19,Superb,
"The best place in Frourio, for dinner..or whatever time you wanna go! Clean, tasty plates, even more amazing dessert!
 The stuff is kind, friendly,smiley and make you feel welcome! 
The red wine is the best choice, to choose alongside your dinner... 
I suggest it without...More",positive,5,22-Oct-18,"Best Place For Dinner in ""Frourio""",
"We had dinner there and it was very good. Nice music and very nice atmosphere. I loved the dessert, that brownie it was really tasty!",positive,5,19-Aug-18,Nice place ,
I visited Greece on March and stambled upon this great Greek dinner. It was an authentic Greek experience we enjoyed the Kaneloni the brilli salad and various greek starters with some nice local wine. The atmosphere was perfect and the waiters where polite and keen...More,positive,5,24-Mar-18,One of the best Greek experiences,
"Friendly people.
Tasty food.
Good prices for good amount of food.
very central location
You must go to Larissa but for sure you have to go to Kitrina Gantia!!!!",positive,5,29-Dec-17,ALL PERFECT,
"Portions are big and tasty,red wine extraordinary good for the price of 2 euros for glass,reasonable prices for very good food,service is good,waitress friendly(she even gave us her powerbank to revive our tablet).Nice atmosphere and interesting interior of this restaurant.",positive,5,26-Jul-17,Excellent in every way,
"Following the recommendation of the hotel front desk, we found this restaurant. The food was great, and the drink was nice. We liked the service. The staff not only introduced us specifies of the day but also chatted with us about the wine and raki...More",positive,5,26-Jun-17,Decent Food and Superb Service,
I had an excellent dinner here. The portions were far bigger that I expected at the prices. The food was superb and the staff friendly.,positive,5,24-Feb-17,Superb food at resonable prices,
"During my stay in larisa this summer i had the opportunity to eat there with my students and myself twice a week or sometimes every evening.
The staff is very friendly. 
The best carbonara in Larisa, best burger and great bbq plater.Also their salads are...More",positive,5,10-Oct-19,Best restaurant with great music,
"During my 4 month stay in Larisa as a site manager I used to go with big groups of people to eat or sometimes by myself, great selection of food and the staff very helpful.",positive,5,10-Oct-19,"Fantastic food, great location and lovely people.",
"Excellent food, nice environment, large portions, very reasonable prices, helpful staff.  They even treated us to non-alcoholic limoncello (we have kids) and a double-portion of dessert.  We would definitely go again.  Highly-recommended.",positive,5,2-Jan-19,Superb,
"The best place in Frourio, for dinner..or whatever time you wanna go! Clean, tasty plates, even more amazing dessert!
 The stuff is kind, friendly,smiley and make you feel welcome! 
The red wine is the best choice, to choose alongside your dinner... 
I suggest it without...More",positive,5,22-Oct-18,"Best Place For Dinner in ""Frourio""",
"We had dinner there and it was very good. Nice music and very nice atmosphere. I loved the dessert, that brownie it was really tasty!",positive,5,19-Aug-18,Nice place ,
